"OC","bedCount","revenue1","salescost1","sga1","salary1","noi1","noe1","interest1","ctax1","profit1","liquidAsset1","quickAsset1","receivableS1","inventoryAsset1","nonCAsset1","tanAsset1","OnonCAsset1","receivableL1","debt1","surplus1","revenue2","salescost2","sga2","salary2","noi2","noe2","interest2","ctax2","profit2","liquidAsset2","quickAsset2","receivableS2","inventoryAsset2","nonCAsset2","tanAsset2","OnonCAsset2","receivableL2","debt2","surplus2","employee1","employee2","ownerChange"
"open",250,49669173562,8844036521,38845605937,22985012106,423613410,2034357679,1462729706,11840547,356946288,11434839492,11172140366,142664146,262699126,60683376120,59661914864,443318000,0,52901576100,0,46490012947,7983493712,36824359713,22830679846,345108885,1761107312,1354864487,22444073,243717022,12837772927,10479138744,122741918,340508004,51519559632,49558158555,270580000,0,51306502698,0,53,53,"same"
"open",656,14819927146,0,14334987909,7603418730,272732334,310062763,276768409,252052728,195556080,3921154973,3921154973,674724910,0,15603076318,14932646145,343140000,0,12992587296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,250,"same"
"open",123,2998495883,138568532,2485503499,1398272118,75589,372743761,361970741,0,1755680,1268057892,1208023892,602250084,60034000,21905275891,21689996998,215278893,0,15217907306,0,2893263699,149158043,2452306908,1262933338,182,207128691,207128691,0,84670239,915012635,904732635,267837420,10280000,22518784420,22028897980,249886440,0,12910033559,0,54,54,"change"
"open",143,66977875101,0,65577844107,27833843744,225875258,2446763579,1324953766,0,-820857327,11265292426,9778297467,8593225247,1486994959,54168775909,49417225654,1967043763,0,57951971241,0,63150222225,0,60434034997,25473400923,84993235,2336196225,1386481533,97081740,367902498,9277325453,7839075785,4344648051,1438249668,58361648331,50474603648,5023822600,0,57939482777,0,209,209,"same"
"open",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951,901,"same"
"open",526,1.24e+11,35743130029,91327949038,57788136980,1314452222,1570602979,896998857,137870752,-3753817012,19014833155,18872481981,15862433,142351174,56557453510,45434143230,10085168680,0,74703721975,0,1.06e+11,31538714184,77999052487,47801058040,1277650060,1509925077,765308352,614884390,-4064822885,19281545729,19221242286,32955720,60303443,57000532120,47710628640,8767966280,0,71659696147,0,951,901,"same"
"open",181,15690699439,0,15690319472,8142441296,511215199,2474767666,319704982,0,-1963172500,3712671845,3689155191,100333900,23516654,18108427179,16383766379,1666949800,0,18712566017,0,14686578410,0,14668636015,7776280840,279872271,696027827,325310528,0,-398213161,3863426882,3844125823,128808910,19301059,19362338743,17159650943,1652406800,0,18154060118,0,183,171,"change"
"open",243,38928596428,8449315118,28736229589,18880365145,237324276,1543529755,1042222917,39631614,397214628,22844745285,22361993468,4761274747,482751817,88445094022,85990066982,2422999400,0,52131881696,922085940,36233792174,8510962520,26393288884,17523260061,228787705,1143289166,998216798,83505356,331533953,23422373579,22848488681,3615003389,573884898,75752871876,73224607110,2484777400,0,40414502472,524871312,409,328,"change"
"open",291,6857075503,316104702,6011691943,2849657910,26235813,513877434,88591452,61504280,-19867043,819400069,788366733,729715174,31033336,13166710760,13160549820,5e+06,0,0,724226716,4567259957,212190276,3785693521,1930829961,42542552,345057952,47183083,41105761,225754999,496786330,496786330,470735010,0,13600147868,13598599948,0,0,0,744093759,42,42,"same"
"open",195,22920991463,0,23161528038,10521716794,1619736486,1161622440,357708193,80621490,136955981,5808388270,5412264543,2150485227,396123727,16709736766,13949663315,2057226000,0,15436165283,5011010300,21974122529,0,21464413685,9651965549,366705342,548014805,392175790,8673777,319725604,3358457091,2975159272,2000561307,383297819,15672943991,13110473001,2057226000,0,15646251824,0,194,194,"same"
"open",167,17096005437,1148889637,15517999341,8231830104,22507591,474517882,472039090,0,-22893832,2292087499,2225171415,72036,66916084,18698943512,15801073664,2897868848,0,16903461067,1008090000,17315410085,1178732835,15563504253,8291716125,14880783,509595759,475213502,46803310,31654711,3002564089,2931975475,0,70588614,18831922650,15742389396,3084533254,0,16210249656,1008090000,355,358,"same"
"open",346,67068990371,0,63496177471,29793955850,2592034969,5335543642,2841474870,324138415,505165812,19360618174,18244190311,183244162,1116427863,1.02e+11,96389173566,2114020000,0,86697249913,10929718196,65706545267,0,60340378228,27928340890,2037275796,5641498192,2593366043,273203545,1488741098,18493075097,17642665447,206724822,850409650,1.01e+11,96234520243,776051000,0,85088583901,11281035172,606,633,"change"
"open",48,9293955823,0,10980487018,5578216390,125260866,235115549,231104453,0,-1796385878,1500644005,1358172426,0,142471579,8642146868,8475546868,0,0,7907162972,6019553199,10787185619,0,11651916411,6879270163,151972901,232810613,232600533,0,-945568504,1669906019,1562542144,0,107363875,8701061722,8534461722,0,0,7338953962,6019553199,117,135,"change"
"open",252,13927661065,743799451,11624015409,7097650666,8217133,350522595,350522595,231296213,986244530,2615974636,2593840426,2515649444,22134210,21430590591,20987077212,462000,0,12098966480,0,11919221630,585579999,9874112423,5099015290,2668341,359155384,322794083,0,1103042165,2483380503,2455009853,1858141357,28370650,22580354975,22157948118,462000,0,11711993007,0,164,164,"same"
"open",66,24074718560,6429351944,16603254922,11567304900,1508636487,2061558066,222096329,92501890,396688225,3683441982,3545415312,0,138026670,15044378768,14717396768,326982000,0,14812671115,0,23915748030,6161905349,16493932169,11226127320,1477795614,2292094710,262606431,87463140,358148276,3130415687,2994673619,0,135742068,15352993727,15105021727,247972000,0,14964948004,0,266,244,"same"
"open",196,9096548420,0,8732286589,4287374108,33716293,286024540,268520208,18664150,93289434,1243335796,1146867994,0,82356623,9779431803,9635402159,32577000,0,10767212539,-744444940,8643688127,0,8261377198,3956761543,69718027,316058310,280889707,21299300,114671346,1074828099,1057855758,0,0,10907594943,10598250599,32577000,0,10538805841,443617201,156,153,"same"
"open",137,25388522198,5799018072,19474790132,12205737320,469549977,368301439,330071049,160871190,55091342,2332360925,2090377954,1254000,241982971,32782058193,32684163193,68895000,0,21839514233,13752084380,22997709353,5452890556,18612496373,11874492700,501767174,636319450,400809600,0,-1202229852,2132311377,1923416004,1254000,208895373,20399628377,20113023377,233785000,0,23064210591,0,243,224,"same"
"open",63,14802668835,1462372502,12946015815,8418942090,75897969,350360910,322501564,9915370,109902207,894536014,653358359,0,241177655,21451059510,21318451510,132608000,0,16639679773,4179247927,14336147847,1536435665,12463857309,8207703010,56514708,269317716,235996820,12277740,110774125,836277606,645431409,0,190846197,15151838824,14712130824,147608000,0,10392102886,4069345720,148,140,"same"
"open",149,58201450435,8002571377,48778584637,21839686580,418567384,383067082,296607165,578397450,877397273,6707079632,6015740971,14538250,691338661,36060444883,33911264854,7.93e+08,0,32936293856,26928,55675951519,6228445364,44832427518,19701272360,286410207,2878319088,471474568,192228400,1830941356,7762225881,7144963104,19370000,617262777,37587470374,35412478668,9.05e+08,0,37247076511,26928,418,418,"same"
"open",406,16732825088,2568596158,12355081959,7040943933,40114330,375248502,343800103,299015472,1174997327,2852257400,2730376047,2531896852,121881353,37045300701,34814625429,0,0,31260502979,0,17382142356,2550276626,12479346835,6825087415,93110393,1116843207,448027970,120091805,1208694276,2271917969,2074443425,1852879362,197474544,38429135816,35278135816,0,0,33326286400,0,249,253,"same"
"open",0,13207438120,2301603808,10269216425,5671130470,15051797,314375353,172718176,68212895,269081436,2042506734,1914822836,0,127683898,8963332085,8097412639,61340600,0,6926195411,0,11835954883,1648423124,9907985262,5963381150,43262276,313362395,156262167,0,9446378,2122994887,1969267967,0,153726920,8822733591,8103954776,118843000,0,6491095906,0,93,95,"same"
"open",78,6859738630,471712908,6693224258,3662477466,184397552,158090415,157639434,0,-278891399,1028775130,943187548,20758790,85587582,10034376460,9530157739,346880000,0,8458883643,0,7570750562,477437525,6914469482,3465553460,124474798,180592251,178052542,0,122726102,836181704,741337176,19766090,94844528,10294749851,9796591822,348080000,0,8247772209,0,94,90,"same"
"open",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323,323,"same"
"open",584,21793838320,904780292,18951985137,12781902660,610626714,1202445218,169551969,371350880,973903507,17696396607,17606214680,0,90181927,20178273850,19972987375,99300620,0,12276250672,0,21798408033,842205893,17932268744,12006426230,263512591,1914171812,256108672,400375710,972898465,16601464461,16534795174,3.38e+08,66669287,19374524387,19088379056,213887420,0,11473586047,0,323,323,"same"
"open",101,8809012224,0,8387238471,3412376547,24733405,306102348,274342243,11757920,128646890,983586111,812509700,240175801,171076411,15852064318,15622064318,2.3e+08,0,8252415016,0,8933886580,0,8436754281,3360017759,144845,256413209,176662516,0,240863935,0,0,0,0,0,0,0,0,0,0,96,96,"same"
"close",132,2681765580,180200922,2014579640,936645110,59924069,428721218,284069476,0,118187869,0,0,0,0,0,0,0,0,0,0,2093132140,142854148,1751389576,916482193,21947086,147298317,113100675,0,73537185,0,0,0,0,0,0,0,0,0,0,51,NA,"change"
"open",258,8546126935,0,6737509250,3830658980,6467580,539890179,513787982,0,1275195086,2887867418,2550065516,1843823564,337801902,20854146408,20546016366,263862900,0,11737791374,6505224190,8400143979,0,6970727978,4230171230,41032041,588920467,510833633,0,881527575,2889902409,2405504247,1898913934,484398162,20815193408,20495356610,267292900,0,12976068451,6505224190,137,137,"same"
"open",53,9945697033,2518533380,7838979629,4001863380,58259710,204524605,176306594,0,-558080871,2308999637,2148142259,970975608,160857378,6430171867,6356611667,2060000,0,7054460794,0,9947007996,2694808738,7435854028,3923363240,126181664,288251902,160406476,0,-345725008,3217332997,2767906283,1056078929,449426714,7032585816,6996906598,2060000,0,6928901664,0,90,90,"same"
"open",164,6480419010,0,7611627015,4383683589,5905707,163905774,163868524,0,-1289208072,1759257575,1759257575,0,0,7267490563,6917490563,3.5e+08,0,6979032891,0,6601941710,0,6415569775,4253093144,14062706,183384001,165332026,0,17050640,2093419276,2082118494,0,11300782,9288879664,8912147271,376732393,0,6012014148,0,99,99,"same"
"open",0,1.51e+11,98503322990,49547764666,3726935398,1407328026,2640421560,55331120,305400448,992483835,42808356695,41791456468,70588560,1016900227,26198928184,17262009402,5488177269,0,39545947657,43194221,1.36e+11,86581590331,45089804448,3101032367,1398482994,2532895583,29245848,484014835,2325907457,40818694405,39705368784,27006689,1113325621,17844411250,11767377955,4700024269,0,30194252268,43194221,454,425,"same"
"open",206,20425771788,4133216227,14902797655,10796721206,263511030,1041124875,691712214,189294110,422849951,5021154737,4648822830,0,372331907,35966517012,34950096428,877111000,0,24367583508,0,20381268714,4352160507,14566494451,10238355380,271529989,1218739313,859039602,12264120,503140312,5548918205,5252864326,2651482168,296053879,35512534044,34370840460,935991000,0,24814213959,0,205,226,"same"
"open",126,27912697687,2442931060,17957418899,7511234837,2224248,4010569368,67068540,794522148,2709480460,20282084651,20227834651,2823876231,54250000,28041839650,24488939650,3348500000,0,25693380103,0,26910431794,2044592472,16731313050,7071659787,30863345,4224260363,165132802,904909800,3036219454,14241633015,14152068015,2340607443,89565000,28684510208,25459010208,3225500000,0,23005079485,0,210,210,"same"
"open",203,6898958895,367242573,6562792750,4054406320,19204746,178026082,164109704,0,-189897764,3876992511,3856190100,519640803,20802411,10183155603,10157084802,2e+07,0,11687971008,0,6877093780,320184757,6107040954,3858663320,229468784,350226471,122947274,25867610,303242772,986631677,969340687,665994612,17290990,9806954755,9006892501,2.9e+08,0,8011136359,0,131,131,"same"
"open",244,7821761860,570611458,6535756355,4255071060,25358210,150306551,123776039,110617930,479827776,1937646633,1904418104,1162642246,33228529,10066923187,9705726687,361196500,0,5658750123,0,7757509710,774152368,6104949683,4177229340,67049558,183603605,149848205,149222747,612630865,1697438159,1669186499,944233662,28251660,9872619411,9587869411,284750000,0,5632740365,0,127,130,"same"
"open",139,9864586051,1812608644,7638166747,4291169759,26998793,231404814,224230817,0,209404639,1628712781,1517296889,1123786007,111415892,9157833654,8876719660,109963000,0,9663114002,0,10151769790,1787491379,7577555945,3780335487,66796385,277661762,197908239,11204514,564652575,2314354182,2185870187,1029737071,128483995,8493320578,8030347958,93963000,0,8271924925,0,120,96,"same"
"open",196,26649630072,6252852956,20306453789,11666631108,399644546,303852417,251559018,107505958,78609498,4517239853,4167397009,729383833,341249150,16468265301,16313545641,0,0,12335548150,0,26551086740,6678186631,19594874669,11069279182,355181151,352788181,327180012,30376570,250041840,2748360097,2507320716,406449004,235056073,18058943771,17804224111,0,0,12235956362,0,295,295,"same"
"open",277,5662108342,504715781,4888397798,3248961978,48982266,127371257,127358463,17622700,172983072,1517867972,1492894239,661883804,24973733,8637470906,8256788765,183950000,0,5065088399,1237935879,5573254145,474333325,4943101009,3295531076,64103659,94726634,94726521,6953170,118243666,2481340492,2372574150,884070023,108766342,6138483376,5288647104,413950000,0,3702556461,1064952807,86,86,"same"
"open",166,12672510066,1319791505,11298752426,6514154575,0,16039299,0,0,37926836,0,0,0,0,0,0,0,0,0,0,13464684955,1459632131,11549318165,5890794030,0,500784,0,0,455233875,0,0,0,0,0,0,0,0,0,0,132,132,"same"
"open",28,8872426915,964124895,7638919868,4488957824,19153521,216088892,204479315,72446781,0,1302114675,1186742960,2671059,97648359,8347311458,8178953358,2200500,0,6749131935,0,8632333447,899417417,7616309072,4283770860,132492468,218881005,199357358,30218421,0,1002794432,891514383,0,80868500,8581435416,8368728596,25520500,0,5958277645,0,NA,NA,NA
"open",249,40485538992,0,38155097034,19365828922,2708324415,4972290235,331974734,24702819,41773319,7146109670,6312031337,4738034539,834078333,31591780617,29580149787,1620463850,0,31743390761,4605417526,39135058238,0,36523815828,17990618386,2822023466,5259078312,440987617,107389328,66798236,7146293858,5931530446,3604655257,1214763412,31283270500,29955670020,841433500,0,31476838151,4684644207,300,300,"same"
"open",199,8520319018,489603680,7518263612,4598249389,20648206,409327374,177681043,0,123772558,837642749,799803379,749930732,37839370,7361808382,7244449230,81497820,0,6438049294,665969467,7098635900,362034237,6233968629,3716436763,19128855,399055505,178103206,0,122706384,1112035283,1077215983,903254823,34819300,7491063697,7330564741,132140780,0,6965469701,542196909,73,76,"same"
"open",57,14717584270,0,13908695044,7926864654,49816088,764745600,720643772,24921279,69038435,3554141428,3343728987,166530,210412441,30433299811,29958304591,164383540,0,23326685163,-437898144,13998259456,0,13177786628,7016920868,79093463,811141041,776276112,2912920,85512330,3635134795,3410960427,5032260,224174368,31053109705,30448730617,153253540,0,24096526859,-506936579,119,137,"same"
"open",148,3957464500,156035904,3360237640,2273718273,0,0,169068842,0,441190956,1404529812,1401889812,1361721970,2640000,6787707000,6752177000,35530000,0,5415331190,0,3506758290,141777635,2775030618,1863550212,0,0,261413112,0,589950037,1234391621,1231404431,1209699017,2987190,6770007000,6747477000,22530000,0,5444962069,0,74,74,"same"
"open",114,15060003766,0,15074264045,8253147137,270096627,203222162,199592678,3654150,48960036,2086486219,1807214804,1538642198,279271415,12230093732,12217443732,12650000,0,7879246664,0,15165202412,0,14988833787,7910843159,325576389,321117210,230702235,7362110,173465694,2157779611,1875223654,1679565033,282555957,11777324736,11764674736,12650000,0,7519979281,0,265,265,"same"
"open",214,11244193296,0,11208509517,5154797587,11631594,323712539,323712539,0,-276397166,3977699376,3903311705,2249237370,74387671,19793004043,19763004043,3e+07,0,13071062162,-1832358743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,"same"
"open",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,203,"same"
"open",178,4191769346,136016332,3857345612,1834455208,846230,739267544,182699934,0,-540013912,1013757844,991673174,12610000,15967710,8723965989,8402711508,1.65e+08,0,8803424995,0,4084908490,195243931,3548622780,2186997290,58388273,262816972,177575770,0,136613080,398263829,369830009,0,28433820,9030617651,8790843170,1.65e+08,0,7954568730,0,51,80,"same"
"open",181,12567340850,1240875020,10386665883,4830903110,53903404,178144816,146768216,151376981,664181554,2154333443,2124356127,1339153640,29977316,9180002212,8435943552,474058660,0,5363246293,2791112674,12472587612,1219979164,10065794317,4505934475,59755373,190228784,154483096,174571385,881769335,1897270716,1865064189,1301005669,32206527,9006741814,8722358554,134383260,0,5597104722,2126931120,162,161,"same"
"open",44,10332879273,4075620142,6000945161,3096380690,71250013,282249363,282249363,0,45314620,3099111191,3011335378,107685180,87775813,8631662392,6584465333,1624413700,0,9415585411,450242092,10913297248,4397388724,5957357781,2801283770,51569602,249501380,246110192,0,360618965,2959040957,2910547165,108015100,48493792,8041705633,5683929442,1867513700,0,8622036258,513764252,75,75,"same"
"open",0,9351426263,723786841,8059646319,4910779768,62323554,467693492,467191632,0,162623165,1961000465,1926763807,1692425170,34236658,14757453626,14600170271,26389900,0,12048841912,0,9550095070,812590463,8034745692,4952307410,24817670,481110124,477990698,0,246466461,2972277050,2947972395,1695306257,24304655,14536850721,14421003671,36389900,0,13002138757,0,108,108,"same"
"open",244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"open",92,26700482717,0,26416691358,13556961110,220478473,219045847,112061304,87606027,197617958,3878035155,3577496317,33066,300538838,18418911014,18062684554,0,0,15418002426,0,25576960230,0,25819791248,13267348520,177086504,241242093,110821018,71089440,-378076047,3999391985,3769373763,67800,230018222,18212679927,17895635067,0,0,15530746127,0,270,270,"same"
"open",128,523640550,23067726,835577490,564463637,7534205,52630597,52630597,0,-380101058,607366165,595391402,1015000,11974763,3629703850,3629703850,0,0,3513950273,723119742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,NA,NA
"open",50,2089793782,81928186,2303371410,1390205928,8299316,293352238,186562547,0,-580558736,1484001044,1473800649,784174565,10200395,4812822788,4408411872,357370000,0,3647547073,0,2137218430,108726675,2423469572,1493962099,7767695,168582156,164793805,0,-555792278,1494537284,1467852883,716542309,26684401,4797834128,4370713212,380080000,0,3062535917,0,44,46,"change"
"open",172,5338937478,1498712671,3296498121,1695917464,7942060,122534759,105166560,35099630,394034357,1287015412,1277169133,625719777,9846279,5599396982,5549396982,5e+07,0,4469770631,0,4292056513,1368412899,2544745103,1430368025,2658374,100516853,100516773,0,281040032,744813049,733945814,389938820,10867235,5895246375,5745246375,1.5e+08,0,4617452018,0,72,63,"same"
"open",63,10281606016,2270407008,8751409643,4798388897,330538133,129910642,88722194,0,-539583144,6632275493,6601634625,1421173019,30640868,12148852090,10411926114,1072095460,0,5929452964,0,11905975871,2779799212,9099226060,5071808378,369899136,191890911,89825756,57965468,146993356,6498841758,6469252304,1421091580,29589454,12473651150,10750224508,1079489460,0,5581235145,0,129,140,"same"
"open",80,4525975868,308186399,4468341830,2189473430,375868942,99977874,56733323,17422060,7916647,453610063,436188645,246233890,17421418,9829403534,8998862223,9208000,0,7047394204,1971151763,4204042980,346489500,4104618408,1894900420,560722579,171454673,57557678,133930110,8272868,447307843,426165409,284961700,21142434,9962470527,9206658228,9208000,0,7182075624,1963235116,67,62,"same"
"open",341,52626386641,19326736791,32214235859,20975361934,460491652,1344136667,674455772,140061506,61707470,5291376056,4981494400,123296146,309881656,18393326086,18236396086,156930000,0,17279339510,3640579089,52095629463,20063306060,29404121681,19796965290,142988653,1971023595,663353764,89890302,710276478,5960163163,5744748191,125878556,215414972,18746554897,18569508897,177046000,0,18326690698,3615243819,507,507,"same"
"open",0,2600028478,214725510,2483782477,1095680958,2805112,82605287,80922413,4380801,-182660485,458798457,456218457,173719627,2580000,5558842539,5170827369,111538580,0,4331665718,76602878,2657993680,261897486,2286048968,942778480,5823997,90478531,89763279,1100690,24292002,584347035,581367035,248555642,2980000,5516948289,5164826932,61138580,0,4232659561,259263363,40,40,"same"
"open",43,11981170391,2118265469,9972941734,7180585290,7021881,620999659,501785283,0,-724014590,2662810730,2629393152,0,33417578,15348905147,14809308430,0,0,15730836450,0,12080190529,2075571819,9407111639,6995657680,8687104,502512535,374751169,24534160,79147480,2712693206,2686588897,0,26104309,12545382977,11943987535,0,0,12253182166,0,192,192,"same"
"open",182,4131857876,143611800,3529097014,2198043355,56630198,228194537,113598011,22221340,265363383,1970952253,1963786853,0,7165400,3553690709,2749986147,527179060,0,2803885092,0,3318141151,144310353,2982098323,1709276338,58244152,164510269,91316429,13350570,72115788,1694658561,1686307261,0,8351300,3451466150,2778450995,410506320,0,2658296224,0,85,74,"same"
"close",NA,4131857876,143611800,3529097014,2198043355,56630198,228194537,113598011,22221340,265363383,1970952253,1963786853,0,7165400,3553690709,2749986147,527179060,0,2803885092,0,3318141151,144310353,2982098323,1709276338,58244152,164510269,91316429,13350570,72115788,1694658561,1686307261,0,8351300,3451466150,2778450995,410506320,0,2658296224,0,85,74,"same"
"open",150,2779983400,99198923,2492878526,1753765469,21915577,16503332,1041483,0,193318196,356233719,337601968,277795141,18631751,2047082065,2047082065,0,0,854711207,1548604577,680456090,0,1075183311,632027140,14893,1291,0,0,-394713619,246786156,245071635,199624125,1714521,1970731865,1970231865,5e+05,0,862231640,1355286381,81,87,"change"
"open",0,15472543033,9405840570,5046172942,2268689456,42491802,403788486,398976016,425828,658807009,5788889613,5605380360,3977685248,183509253,13438186014,12751732448,464715970,0,12805430556,0,13747537565,8660039908,4611549526,2099717546,8589077,467405759,415645399,0,17131449,3685664910,3516971530,2622831041,168693380,14931977213,14251469415,465705970,0,12854804061,0,107,109,"same"
"open",44,1327195400,166222201,1508852866,922694934,1423463,79881208,78679546,0,-426337412,219419348,155957598,118702089,63461750,5323411259,5304170259,19241000,0,2993869156,-544038549,0,0,110395413,53086198,165341,7471065,6151065,0,-117701137,318992446,313510710,0,5481736,4981329076,4964863076,16466000,0,2325022659,-117701137,35,20,"same"
"open",132,15070077600,0,10026744651,8254975729,217378678,1573829241,222787238,163215150,3523667236,3471877338,3403546818,1712145390,68330520,27559226350,27485444816,0,0,15555678536,3563084070,14537733060,0,12258698120,7583105273,237409590,1591169700,155979075,106636070,818638760,7087079110,7037251955,1545520714,49827155,19634620463,15943965904,3634028859,0,11506707690,3033850801,222,222,"same"
"open",55,7159764865,832825694,6627242639,3395363456,61155355,160888732,125918455,0,-400036845,1195640375,1151504910,779656103,44135465,3980481498,3219379298,761102200,0,3974333153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,"same"
"open",162,0,265274943,3842204420,2421379210,5907393,571739774,568306683,0,-4673311744,0,0,0,0,0,0,0,0,0,0,0,0,574646193,447422650,148647,129858994,127259404,0,-704356540,0,0,0,0,0,0,0,0,0,0,78,78,"same"
"open",243,24790401182,5253050023,20489861383,13945216575,657929005,171427187,109311923,0,-466008406,4857281921,4668454383,73851592,188827538,13740224185,13334145359,0,0,11766846773,3505169993,26159346763,6171854298,18796013326,12720062491,413224042,327715980,175995694,40392230,1236594971,4683307832,4465265855,60508827,218041977,16073056728,14003965648,0,0,13328061705,3636805109,255,255,"same"
"open",163,5584965180,212104749,5455168717,3135278630,58981497,145958141,110144833,0,-169284930,1972583861,1949123439,0,23460422,2654685142,2451661725,4.7e+07,0,3531760444,0,5817386570,221254968,5012443789,2914010499,38853342,155139423,116388791,0,467401732,1909348753,1887445985,0,21902768,2778640660,2595580521,78200000,0,3339528424,0,86,84,"same"
"open",30,6017543490,199965460,5519678118,3215997040,74068997,58518818,29253542,48853470,264596621,2860018082,2850313557,811037296,9704525,6621404275,6453724275,167680000,0,4141693250,1829240804,5737160246,197662210,4972290965,2999324224,33415440,247901144,31614504,0,352721367,2742721097,2733263097,736613528,9458000,6526893835,6406893835,1.2e+08,0,4194482446,1564644183,71,71,"same"
